"id_driver","date_registration","driver_rating","gold_level_count","receive_marketing","country_code","service_type"
15260831,2015-11-18,4.85,2,true,ES,TAXI
58194598,2020-03-12,4.79,26,true,DE,PHV
21139412,2017-05-15,4.76,10,true,DE,TAXI
48382094,2019-03-20,4.91,3,false,DE,TAXI
52914047,2019-08-02,4.96,10,true,DE,PHV
3819868,2013-01-02,4.97,0,true,DE,TAXI
13784223,2015-03-06,4.91,75,true,DE,TAXI
34855757,2019-02-06,4.94,19,true,ES,TAXI
56894312,2020-01-17,4.95,2,true,DE,PHV
34487571,2019-01-16,4.87,29,true,ES,TAXI
53343479,2019-08-22,4.87,9,true,ES,TAXI
6661233,2013-07-16,5.0,3,true,DE,TAXI
17691194,2016-07-13,4.99,67,true,DE,TAXI
53060281,2019-08-09,4.97,0,true,DE,PHV
443472,2011-11-16,4.76,0,true,DE,TAXI
23866085,2017-10-25,4.88,32,true,ES,TAXI
31719693,2018-09-06,4.89,20,true,ES,TAXI
17304592,2016-06-07,4.9,9,true,ES,TAXI
58460655,2020-04-29,4.95,0,true,DE,TAXI
18113111,2016-08-25,4.88,40,false,ES,TAXI
57950700,2020-03-02,4.78,5,true,DE,TAXI
13198523,2014-12-10,4.93,9,true,ES,TAXI
32286204,2018-10-03,4.9,17,true,ES,TAXI
31185854,2018-08-09,4.82,25,false,ES,TAXI
33452266,2018-11-27,4.95,39,true,ES,TAXI
19267063,2016-12-05,4.96,99,true,ES,TAXI
19992017,2014-06-22,4.91,13,true,ES,TAXI
21173391,2017-05-16,5.0,37,true,ES,TAXI
18995818,2016-11-09,4.97,116,true,DE,TAXI
49180076,2019-04-23,4.91,1,true,ES,TAXI
57615363,2020-02-19,4.86,0,true,ES,TAXI
153017,2011-05-30,5.0,2,true,DE,TAXI
15369117,2015-12-01,4.71,5,true,DE,TAXI
25123840,2018-01-15,4.9,72,true,DE,TAXI
33911113,2018-12-18,4.94,9,false,DE,TAXI
12723319,2014-10-24,4.96,13,true,DE,TAXI
19419409,2016-12-20,4.94,124,true,ES,TAXI
25124337,2018-01-15,4.91,63,true,ES,TAXI
18023045,2016-08-15,4.89,81,true,DE,TAXI
2039285,2012-08-31,4.77,2,false,ES,TAXI
58382894,2020-04-08,4.88,1,true,ES,TAXI
15168040,2015-11-05,4.99,73,true,DE,TAXI
2376079,2012-09-26,4.95,29,false,DE,TAXI
29478659,2018-06-19,4.94,52,true,ES,TAXI
56711202,2020-01-07,4.98,0,true,DE,PHV
53948388,2019-09-17,4.79,1,true,DE,PHV
53390962,2019-08-24,4.9,1,true,DE,PHV
1873,2011-05-29,4.81,0,true,DE,TAXI
33429997,2018-11-26,5.0,16,false,DE,TAXI
279702,2011-09-02,4.88,112,true,DE,TAXI
23555896,2017-10-03,4.95,1,true,ES,TAXI
23577549,2017-10-05,4.82,34,true,ES,TAXI
57638916,2020-02-20,4.71,0,true,DE,TAXI
28658779,2018-05-28,4.85,12,false,ES,TAXI
47556868,2019-03-06,4.97,64,true,ES,TAXI
15749696,2016-01-04,4.95,72,false,DE,TAXI
55160205,2019-11-05,4.93,1,true,DE,PHV
25316661,2018-02-01,4.98,11,true,DE,TAXI
15901092,2016-01-21,4.81,0,true,ES,TAXI
15485273,2015-12-14,4.95,29,true,ES,TAXI
53475932,2019-08-28,4.95,0,true,DE,PHV
22733946,2017-08-09,4.99,45,false,DE,TAXI
25376724,2018-02-06,4.87,4,false,DE,TAXI
15503356,2015-12-16,4.91,0,false,DE,TAXI
15220941,2015-11-13,4.93,76,false,DE,TAXI
19968001,2013-05-17,4.87,4,false,ES,TAXI
57292573,2020-02-04,4.96,0,true,DE,PHV
12726072,2014-10-24,4.92,0,true,ES,TAXI
20743172,2017-04-19,4.9,48,false,DE,TAXI
5687909,2013-05-14,4.9,5,true,DE,TAXI
14829051,2015-09-25,4.93,94,true,DE,TAXI
24597264,2017-12-12,4.79,42,true,ES,TAXI
33928638,2018-12-19,4.91,45,true,ES,TAXI
4009439,2013-01-14,4.93,2,true,DE,PHV
22060681,2017-06-26,4.98,39,false,DE,TAXI
34841302,2019-02-05,4.33,1,true,DE,TAXI
56495706,2019-12-30,4.96,0,true,DE,PHV
17543753,2016-06-29,4.96,5,true,ES,TAXI
30896290,2018-07-25,4.91,34,true,ES,TAXI
29207625,2018-06-12,5.0,51,true,DE,TAXI
9324928,2014-01-15,4.92,67,false,DE,TAXI
